Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,403,2,,0,0,1,3,8,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,15,33,76,81,47,96,48,38,,,,,,,,,434,1,334,,,,2,,0,0,1,3,8,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,599,2,,0,0,1,4,8,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,87,84,77,76,60,20,96,99,,,,,,,,,599,2,998,,,,1,,0,0,1,4,8,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,2,800 tokens,800 tokens,1,53,19,79,44,32,59,36,9,,,,,,,,,331,0,0,,,,2,,0,0,1,4,8,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,599,1,,0,0,1,4,8,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,155,2,,0,0,1,5,1,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,155,1,,0,0,1,5,1,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,3,800 tokens,800 tokens,1,155,,,,,,,,,,,,,,,,155,2,110,,,,2,,0,0,1,5,1,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,377,,,,,,,,,,,,,,,,377,0,0,,,,1,,0,0,1,5,1,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,1,67,,,,,,,,,,,,,,,,67,0,0,,,,2,,0,0,1,6,1,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,46,2,,0,0,1,6,1,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,46,1,,0,0,1,6,1,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,4,800 tokens,800 tokens,1,46,,,,,,,,,,,,,,,,46,2,-108,,,,1,,0,0,1,6,1,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,501,2,,0,0,1,7,16,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,405,1,,0,0,1,7,16,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,2,0 tokens,0 tokens,1,49,16,38,7,22,34,34,34,43,28,37,40,34,43,21,21,501,1,401,,,,2,,0,0,1,7,16,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,3,0 tokens,0 tokens,1,7,36,22,14,9,15,14,17,0,44,44,43,43,21,43,33,405,1,305,,,,1,,0,0,1,7,16,2,2,iy91wufg,,,,,,,,0
1,pwqkqqq0,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.456907+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,423,2,,0,0,1,8,16,2,2,iy91wufg,,,,,,,,0
2,gt8zk7mw,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.566108+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,409,1,,0,0,1,8,16,2,2,iy91wufg,,,,,,,,0
3,85lh3szl,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.628508+00:00,0,1,,,1,0 tokens,0 tokens,1,7,47,21,5,24,18,26,29,33,32,42,34,30,9,7,45,409,1,309,,,,2,,0,0,1,8,16,2,2,iy91wufg,,,,,,,,0
4,xov2hmwn,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 04:04:22.675309+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,1,33,2,36,34,34,21,4,38,45,40,20,13,2,48,27,26,423,1,323,,,,1,,0,0,1,8,16,2,2,iy91wufg,,,,,,,,0
