Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.quiz_q1,Player.quiz_q2,Player.role_int,Player.seller_price0,Player.seller_price1,Player.seller_price2,Player.seller_price3,Player.seller_price4,Player.seller_price5,Player.seller_price6,Player.seller_price7,Player.seller_price8,Player.seller_price9,Player.seller_price10,Player.seller_price11,Player.seller_price12,Player.seller_price13,Player.seller_price14,Player.seller_price15,Player.seller_total_price,Player.sales,Player.earnings,Player.buyer_choice,Player.seller_selected,Player.price_paid,Player.identifier,Player.cum_profits,Player.clicks,Player.payoff,Group.id_in_subsession,Subsession.round_number,Subsession.num_prices,Subsession.sellers_per_group,Subsession.buyers_per_group,Subsession.game_number,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,2,800 tokens,800 tokens,1,81,94,75,5,34,9,21,56,,,,,,,,,375,2,550,,,,2,,0,0,3,2,8,2,2,1,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,2,0 tokens,0 tokens,1,98,8,58,64,58,97,66,17,,,,,,,,,466,1,366,,,,1,,0,0,1,2,8,2,2,1,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,466,2,,0,0,1,2,8,2,2,1,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,3,0 tokens,0 tokens,1,25,40,37,54,97,21,54,31,,,,,,,,,359,0,0,,,,1,,0,0,3,2,8,2,2,1,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,1,90,99,37,100,77,5,81,95,,,,,,,,,584,1,484,,,,1,,0,0,2,2,8,2,2,1,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,1,60,86,74,7,58,76,67,13,,,,,,,,,441,1,341,,,,2,,0,0,1,2,8,2,2,1,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,375,1,,0,0,3,2,8,2,2,1,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,2,800 tokens,800 tokens,1,94,21,81,18,52,11,18,14,,,,,,,,,309,1,209,,,,2,,0,0,2,2,8,2,2,1,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,584,2,,0,0,2,2,8,2,2,1,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,441,1,,0,0,1,2,8,2,2,1,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,309,1,,0,0,2,2,8,2,2,1,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,3,0 tokens,0 tokens,1,18,10,98,67,80,11,93,69,,,,,,,,,446,1,346,,,,1,,0,346,3,3,8,2,2,1,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,4,0 tokens,0 tokens,1,13,9,71,32,27,20,40,6,,,,,,,,,218,0,0,,,,1,,0,0,2,3,8,2,2,1,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,1,98,62,13,66,98,49,62,92,,,,,,,,,540,1,440,,,,2,,0,440,3,3,8,2,2,1,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,444,2,,0,356,1,3,8,2,2,1,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,540,1,,0,260,3,3,8,2,2,1,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,525,2,,0,275,2,3,8,2,2,1,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,525,1,,0,275,2,3,8,2,2,1,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,292,1,,0,508,1,3,8,2,2,1,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,2,0 tokens,0 tokens,1,10,26,100,82,98,64,22,42,,,,,,,,,444,1,344,,,,2,,0,344,1,3,8,2,2,1,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,2,800 tokens,800 tokens,1,65,17,81,86,29,84,70,93,,,,,,,,,525,2,850,,,,2,,0,850,2,3,8,2,2,1,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,446,2,,0,354,3,3,8,2,2,1,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,3,800 tokens,800 tokens,1,51,41,23,26,35,22,1,93,,,,,,,,,292,1,192,,,,1,,0,192,1,3,8,2,2,1,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,1,0 tokens,0 tokens,1,96,46,30,94,50,89,76,83,,,,,,,,,564,0,0,,,,1,,0,0,3,4,8,2,2,1,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,3,800 tokens,800 tokens,1,85,87,36,61,59,33,21,47,,,,,,,,,429,1,329,,,,1,,0,329,2,4,8,2,2,1,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,383,2,,0,417,1,4,8,2,2,1,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,429,1,,0,371,2,4,8,2,2,1,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,3,0 tokens,0 tokens,1,37,16,96,72,20,37,16,11,,,,,,,,,305,2,410,,,,2,,0,410,3,4,8,2,2,1,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,2,800 tokens,800 tokens,1,42,71,46,54,15,57,62,44,,,,,,,,,391,1,291,,,,2,,0,291,2,4,8,2,2,1,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,391,2,,0,409,2,4,8,2,2,1,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,305,1,,0,495,3,4,8,2,2,1,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,383,1,,0,417,1,4,8,2,2,1,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,4,0 tokens,0 tokens,1,55,52,48,88,23,16,99,36,,,,,,,,,417,0,0,,,,1,,0,0,1,4,8,2,2,1,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,305,2,,0,495,3,4,8,2,2,1,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,2,800 tokens,800 tokens,1,17,87,36,63,21,68,36,55,,,,,,,,,383,2,566,,,,2,,0,566,1,4,8,2,2,1,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,3,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,67,1,,0,733,2,5,1,2,2,2,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,115,2,,0,685,1,5,1,2,2,2,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,1,800 tokens,800 tokens,1,155,,,,,,,,,,,,,,,,155,2,110,,,,2,,0,110,3,5,1,2,2,2,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,1,800 tokens,800 tokens,1,115,,,,,,,,,,,,,,,,115,2,30,,,,1,,0,30,1,5,1,2,2,2,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,4,800 tokens,800 tokens,1,67,,,,,,,,,,,,,,,,67,2,-66,,,,2,,0,-66,2,5,1,2,2,2,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,3,800 tokens,800 tokens,1,52,,,,,,,,,,,,,,,,52,0,0,,,,1,,0,0,3,5,1,2,2,2,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,115,1,,0,685,1,5,1,2,2,2,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,67,2,,0,733,2,5,1,2,2,2,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,166,,,,,,,,,,,,,,,,166,0,0,,,,2,,0,0,1,5,1,2,2,2,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,1,0 tokens,0 tokens,1,392,,,,,,,,,,,,,,,,392,0,0,,,,1,,0,0,2,5,1,2,2,2,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,155,1,,0,645,3,5,1,2,2,2,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,2,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,1,2,155,2,,0,645,3,5,1,2,2,2,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,113,,,,,,,,,,,,,,,,113,2,26,,,,1,,0,26,2,6,1,2,2,2,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,3,It depends on the prices I set,It depends on the prices I set,1,6,,,,,,,,,,,,,,,,6,0,0,,,,2,,0,0,1,6,1,2,2,2,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,113,1,,0,687,2,6,1,2,2,2,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,1,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,113,2,,0,687,2,6,1,2,2,2,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,4,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,48,2,,0,752,3,6,1,2,2,2,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,3,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,48,1,,0,752,3,6,1,2,2,2,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,47,,,,,,,,,,,,,,,,47,2,-106,,,,1,,0,-106,1,6,1,2,2,2,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,47,1,,0,753,1,6,1,2,2,2,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,47,2,,0,753,1,6,1,2,2,2,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,2,800 tokens,800 tokens,1,245,,,,,,,,,,,,,,,,245,0,0,,,,2,,0,0,3,6,1,2,2,2,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,3,800 tokens,800 tokens,1,277,,,,,,,,,,,,,,,,277,0,0,,,,2,,0,0,2,6,1,2,2,2,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,1,800 tokens,800 tokens,1,48,,,,,,,,,,,,,,,,48,2,-104,,,,1,,0,-104,3,6,1,2,2,2,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,4,800 tokens,800 tokens,1,21,7,35,30,10,43,19,25,43,44,17,45,6,20,36,3,404,1,304,,,,2,,0,304,1,7,16,2,2,3,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,3,0 tokens,0 tokens,1,13,49,32,35,42,47,21,43,25,32,13,0,50,36,5,50,493,1,393,,,,1,,0,393,1,7,16,2,2,3,a730m3z7,,,,,,,,0
3,8qmk0jmq,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.042151+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,414,2,,0,386,2,7,16,2,2,3,a730m3z7,,,,,,,,0
4,lv79k2a9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.183554+00:00,0,1,,,2,0 tokens,0 tokens,1,21,46,29,41,32,28,6,12,45,34,29,29,14,25,9,44,444,1,344,,,,1,,0,344,2,7,16,2,2,3,a730m3z7,,,,,,,,0
5,emdmzy2p,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.277156+00:00,0,1,,,3,800 tokens,800 tokens,1,43,9,13,47,29,20,40,27,47,42,9,28,45,18,27,46,490,1,390,,,,2,,0,390,3,7,16,2,2,3,a730m3z7,,,,,,,,0
6,qc692bwx,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.339557+00:00,0,1,,,4,0 tokens,0 tokens,1,24,38,21,46,32,11,41,14,29,45,0,19,18,24,41,43,446,1,346,,,,1,,0,346,3,7,16,2,2,3,a730m3z7,,,,,,,,0
7,b1q2mprp,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.401958+00:00,0,1,,,1,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,490,2,,0,310,3,7,16,2,2,3,a730m3z7,,,,,,,,0
8,pr5qiap7,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.448759+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,446,1,,0,354,3,7,16,2,2,3,a730m3z7,,,,,,,,0
9,9t22hmet,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.511160+00:00,0,1,,,2,0 tokens,0 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,404,1,,0,396,1,7,16,2,2,3,a730m3z7,,,,,,,,0
10,7qatdn2v,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.573561+00:00,0,1,,,1,It depends on the prices I set,It depends on the prices I set,2,,,,,,,,,,,,,,,,,,,,0,1,493,2,,0,307,1,7,16,2,2,3,a730m3z7,,,,,,,,0
11,ykfd3hg9,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.635962+00:00,0,1,,,3,0 tokens,0 tokens,1,0,38,17,21,20,39,41,35,49,45,24,21,32,8,16,8,414,1,314,,,,2,,0,314,2,7,16,2,2,3,a730m3z7,,,,,,,,0
12,pfeet154,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:11.698364+00:00,0,1,,,4,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,0,1,444,1,,0,356,2,7,16,2,2,3,a730m3z7,,,,,,,,0
1,q8mg9zzu,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.667744+00:00,0,1,,,4,It depends on the prices I set,It depends on the prices I set,1,0,39,50,23,37,44,45,34,13,0,11,45,13,37,31,40,462,1,362,,,,1,,0,362,1,8,16,2,2,3,a730m3z7,,,,,,,,0
2,3wvkh12e,,1,145,144,dimension,8,RoundSummaryWait,127.0.0.1,2016-09-22 18:23:10.886148+00:00,0,1,,,2,800 tokens,800 tokens,2,,,,,,,,,,,,,,,,,,,,1,2,383,2,,0,417,1,8,16,2,2,3,a730m3z7,,,,,,,,0
